relationships,age_last_milestone_year,milestones,Top500,age,relation10,age_first_milestone_year,Has_roundABCD,funding_rounds,has_roundB,milesto_4,million
3,0.0,0,1,11.0,0,0.0,0,7,0,0,0.0
2,0.0,0,1,7.0,0,0.0,1,4,1,0,0.0
17,4.7918,2,1,6.91,1,4.2466,0,2,0,1,0.0
2,2.0027,1,1,10.09,0,2.0027,0,2,1,1,0.0
6,5.0027,1,1,11.0,0,5.0027,0,1,0,1,0.0
6,2.0027,1,1,11.0,0,2.0027,0,1,0,1,0.0
6,6.6082,2,1,9.0,0,3.0,1,3,1,1,0.0
2,0.0,0,1,11.0,0,0.0,1,4,1,0,0.0
3,0.0,0,1,6.0,0,0.0,0,1,0,0,0.0
13,6.0712,4,1,7.58,1,3.5425,1,3,1,0,0.0
8,9.4986,3,0,13.0,0,4.0877,0,2,0,1,0.0
3,0.0,0,0,2.33,0,0.0,0,1,0,0,0.0
6,0.0,0,1,13.0,0,0.0,0,1,0,0,0.0
10,4.0548,4,1,6.33,0,2.4027,1,3,1,0,1.0
0,0.0,0,0,1.96,0,0.0,0,1,0,0,0.0
8,1.0493,1,0,2.0,0,1.0493,0,1,0,1,0.0
4,5.0822,3,1,6.25,0,2.1699,0,2,0,1,0.0
18,4.9288,3,1,6.0,1,0.7616,1,3,1,1,0.0
3,6.7041,3,0,7.0,0,4.6685,0,3,0,1,1.0
7,8.1452,1,1,11.0,0,8.1452,0,2,1,1,0.0
4,1.6356,1,1,4.0,0,1.6356,1,2,1,1,0.0
3,0.0,0,1,6.78,0,0.0,0,2,0,0,0.0
12,5.8356,4,1,7.67,1,2.0822,1,4,1,0,0.0
26,7.6658,5,1,9.0,1,3.4822,1,4,1,0,0.0
2,1.0356,2,0,2.0,0,0.0,0,1,0,1,0.0
6,12.8932,2,1,13.5,0,7.5068,1,2,1,1,0.0
8,3.9178,3,1,5.2,0,0.0411,0,4,0,1,0.0
10,8.3425,3,1,9.64,0,5.6603,0,1,0,1,1.0
8,3.4959,2,1,9.0,0,3.0,0,2,1,1,0.0
10,7.7562,3,0,9.0,0,5.8548,0,2,0,1,0.0
8,5.9616,6,1,7.66,0,2.1616,0,3,0,0,0.0
13,7.0301,3,1,10.17,1,4.9781,1,5,1,1,0.0
12,4.137,3,1,5.58,1,3.1315,0,2,0,1,0.0
35,12.1863,3,1,13.17,1,10.4164,0,4,1,1,1.0
2,0.0,0,1,13.0,0,0.0,0,1,0,0,0.0
6,0.6904,2,1,0.42,0,0.0,0,2,0,1,0.0
8,10.7616,2,1,11.0,0,4.0027,1,3,1,1,0.0
5,6.0329,3,1,9.0,0,3.0,1,4,1,1,0.0
7,5.5151,2,1,6.0,0,2.4164,0,1,0,1,0.0
22,13.011,1,1,14.0,1,13.011,0,2,0,1,0.0
8,4.337,2,1,6.67,0,2.2329,1,2,1,1,1.0
0,0.0,0,1,5.17,0,0.0,0,1,0,0,0.0
6,5.0055,1,1,9.79,0,5.0055,0,1,1,1,0.0
7,2.7918,2,1,3.12,0,2.3315,0,2,0,1,0.0
5,4.1041,3,1,4.5,0,1.589,0,5,0,1,0.0
5,9.126,2,1,11.0,0,3.0027,0,2,1,1,0.0
13,9.2192,3,1,11.0,1,6.9781,0,2,0,1,0.0
13,11.0575,2,1,14.0,1,11.0329,0,2,0,1,0.0
8,5.5534,3,1,8.46,0,4.6301,1,2,1,1,0.0
7,9.0904,5,1,10.0,0,1.6685,0,3,1,0,0.0
4,5.0055,1,1,14.0,0,5.0055,0,2,0,1,0.0
3,1.863,3,1,4.08,0,0.0849,0,2,0,1,0.0
9,5.2438,2,1,8.0,0,3.3315,1,2,1,1,0.0
11,4.7781,2,1,7.0,1,2.0027,1,3,1,1,0.0
2,5.2301,3,1,5.58,0,3.4192,0,1,1,1,0.0
5,2.2822,2,1,2.75,0,1.9507,0,2,0,1,0.0
1,0.0,0,1,13.0,0,0.0,0,3,1,0,0.0
0,0.0,0,0,11.75,0,0.0,0,1,0,0,0.0
8,2.7288,3,1,3.0,0,2.4164,1,3,1,1,0.0
2,0.0,0,1,2.09,0,0.0,0,2,0,0,0.0
1,0.0,0,1,5.01,0,0.0,0,3,1,0,0.0
16,8.0055,2,1,9.0,1,7.5014,1,4,1,1,0.0
2,0.0,0,1,7.7,0,0.0,0,2,0,0,0.0
13,3.3315,2,1,7.0,1,1.3507,0,2,0,1,0.0
4,7.1699,3,1,10.0,0,2.0027,0,2,0,1,0.0
5,6.8,4,1,3.0,0,0.4137,0,3,0,0,0.0
6,1.1808,1,1,5.57,0,1.1808,0,1,0,1,0.0
6,8.0055,1,1,14.0,0,8.0055,0,3,0,1,0.0
24,2.6712,2,1,3.03,1,1.8329,0,2,0,1,0.0
5,0.0,0,1,9.0,0,0.0,1,3,1,0,0.0
3,1.3973,2,1,4.28,0,0.7918,0,2,0,1,0.0
3,3.7507,1,1,7.74,0,3.7507,0,1,1,1,0.0
8,2.2411,1,0,3.41,0,2.2411,0,1,0,1,0.0
1,0.0,0,0,1.0,0,0.0,0,1,0,0,0.0
1,0.2466,1,1,7.43,0,0.2466,0,1,0,1,0.0
7,4.1918,2,1,8.63,0,1.5836,1,4,1,1,0.0
18,2.0,1,1,9.0,1,2.0,1,4,1,1,0.0
2,3.0027,1,1,14.0,0,3.0027,0,4,1,1,0.0
0,0.0,0,0,5.16,0,0.0,0,1,0,0,0.0
9,4.726,2,1,7.0,0,4.5836,0,2,1,1,0.0
2,0.0,1,0,1.58,0,0.0,0,1,0,1,0.0
24,5.1507,3,1,6.33,1,4.7616,1,5,1,1,1.0
4,0.0,0,1,14.0,0,0.0,0,3,0,0,0.0
13,6.6548,3,1,8.25,1,4.9781,1,2,1,1,0.0
6,6.0,2,1,5.65,0,5.9233,0,4,1,1,0.0
10,8.3534,5,1,9.0,0,5.0027,1,2,1,0,1.0
37,5.6767,2,1,6.67,1,4.9315,0,5,0,1,0.0
1,9.7534,1,0,15.84,0,9.7534,0,1,0,1,0.0
16,5.7342,3,1,7.32,1,2.9151,1,3,1,1,0.0
3,0.0,0,1,11.0,0,0.0,0,2,1,0,0.0
5,0.0,0,1,12.09,0,0.0,0,1,0,0,0.0
3,7.8384,2,1,8.91,0,5.6055,0,3,0,1,0.0
5,5.0027,1,1,8.42,0,5.0027,0,2,0,1,0.0
0,0.0,0,1,11.68,0,0.0,0,1,0,0,0.0
2,10.7534,2,1,11.0,0,4.1644,0,3,0,1,0.0
13,3.4932,3,1,4.69,1,3.0877,1,2,1,1,0.0
1,0.0,0,1,1.53,0,0.0,0,1,0,0,0.0
5,0.0,0,1,9.0,0,0.0,0,1,0,0,0.0
4,2.7123,2,1,6.0,0,2.3671,0,5,1,1,0.0
2,0.0,0,1,8.0,0,0.0,1,5,1,0,0.0
3,2.337,3,1,6.0,0,1.4164,1,3,1,1,0.0
2,0.0,1,1,2.33,0,0.0,0,2,0,1,0.0
23,3.5397,2,1,3.67,1,2.6904,0,2,0,1,0.0
10,2.5342,2,1,8.0,0,0.0,0,1,1,1,0.0
6,3.0,1,1,13.0,0,3.0,0,1,1,1,0.0
11,3.6274,4,1,5.98,1,0.537,1,3,1,0,0.0
9,9.0055,1,1,11.0,0,9.0055,0,2,1,1,0.0
5,2.0301,2,1,5.0,0,2.0,0,3,0,1,0.0
2,0.0,0,0,4.36,0,0.0,0,1,0,0,0.0
4,2.0,1,1,9.0,0,2.0,0,1,0,1,0.0
4,0.0,0,1,9.16,0,0.0,0,1,0,0,0.0
12,0.9178,2,0,2.0,1,0.0,0,1,0,1,0.0
9,8.874,3,1,9.0,0,6.8329,0,1,0,1,1.0
2,0.0,1,0,1.15,0,0.0,0,1,0,1,0.0
4,0.0,0,1,9.0,0,0.0,0,2,0,0,0.0
1,4.3014,3,1,3.5,0,2.874,0,1,0,1,0.0
9,7.0055,1,1,14.0,0,7.0055,0,4,1,1,0.0
4,5.2548,3,0,7.25,0,1.2521,0,1,0,1,0.0
5,9.8849,3,1,10.0,0,4.0027,0,1,0,1,0.0
6,4.9178,3,1,5.41,0,1.663,0,4,0,1,0.0
30,3.3781,3,1,4.67,1,1.2959,0,3,0,1,0.0
9,5.9233,3,1,6.58,0,3.7699,0,3,0,1,0.0
4,0.0,0,1,12.0,0,0.0,0,10,1,0,0.0
6,8.5123,2,0,8.0,0,3.1616,0,1,0,1,0.0
5,2.2055,2,1,4.79,0,1.4575,0,1,0,1,0.0
9,10.9041,3,1,14.0,0,6.0055,0,3,0,1,0.0
38,5.1918,3,1,5.31,1,3.3397,1,5,1,1,1.0
1,1.0,1,1,5.85,0,1.0,0,1,0,1,0.0
6,2.5452,2,1,4.1,0,1.1863,0,1,0,1,0.0
4,8.0932,2,0,12.0,0,6.7534,0,3,0,1,0.0
12,2.7315,2,1,4.0,1,2.0055,0,2,0,1,0.0
5,1.4712,2,1,6.0,0,1.0027,0,1,0,1,0.0
5,9.3616,2,1,13.0,0,4.0027,1,3,1,1,0.0
15,0.5808,1,1,3.0,1,0.5808,0,2,0,1,0.0
12,4.474,2,1,8.0,1,2.0,1,3,1,1,0.0
6,2.0027,1,1,3.17,0,2.0027,0,1,0,1,0.0
5,1.0027,1,0,4.93,0,1.0027,0,1,0,1,0.0
1,9.1096,2,1,12.0,0,8.5945,0,3,1,1,0.0
10,6.8986,2,0,11.67,0,5.6712,0,3,1,1,0.0
28,7.0055,2,1,8.0,1,6.5342,1,4,1,1,0.0
3,1.6658,2,1,4.0,0,1.5863,0,1,0,1,0.0
6,3.4164,1,1,9.08,0,3.4164,1,4,1,1,0.0
18,6.9041,5,1,7.0,1,2.326,1,3,1,0,1.0
7,2.0,1,0,8.0,0,2.0,0,4,0,1,0.0
1,3.4986,1,1,5.42,0,3.4986,0,2,0,1,0.0
30,6.8411,5,1,6.91,1,3.0438,1,6,1,0,1.0
2,0.2849,2,1,4.05,0,0.0,0,1,0,1,0.0
4,3.3151,2,1,6.58,0,0.6712,0,1,0,1,0.0
2,0.0,0,1,7.22,0,0.0,0,2,0,0,0.0
7,5.4822,2,1,7.12,0,2.9178,0,1,0,1,0.0
5,0.3068,1,0,0.84,0,0.3068,0,2,0,1,0.0
3,4.0027,1,1,12.0,0,4.0027,1,2,1,1,0.0
5,5.1836,2,1,7.5,0,1.3288,0,2,0,1,0.0
1,0.0,0,1,12.0,0,0.0,0,1,0,0,0.0
4,4.0027,1,1,11.0,0,4.0027,0,1,1,1,0.0
6,6.3808,2,1,7.83,0,5.9205,0,2,0,1,0.0
10,3.8795,3,1,5.9,0,2.4192,1,4,1,1,0.0
3,0.0,0,1,14.0,0,0.0,0,1,0,0,0.0
1,0.0,1,0,6.56,0,0.0,0,1,0,1,0.0
6,3.5425,2,1,5.08,0,3.1342,0,2,0,1,0.0
5,0.9041,1,1,6.42,0,0.9041,0,3,0,1,0.0
5,2.0411,3,1,2.84,0,0.8411,0,4,0,1,0.0
3,0.0,0,1,7.33,0,0.0,0,3,1,0,0.0
2,0.0,0,0,2.99,0,0.0,0,1,0,0,0.0
16,5.9041,3,1,7.92,1,4.3151,1,7,1,1,0.0
11,8.3014,3,1,12.33,1,4.0027,0,3,0,1,1.0
0,0.0,0,1,13.0,0,0.0,0,2,0,0,0.0
1,0.0,1,1,5.11,0,0.0,0,1,0,1,0.0
2,2.0027,1,1,10.0,0,2.0027,0,3,1,1,0.0
11,12.0548,2,1,14.33,1,11.8411,0,4,0,1,0.0
1,0.0,0,1,14.0,0,0.0,0,1,0,0,0.0
30,4.4877,5,1,5.75,1,1.8466,0,2,0,0,0.0
13,0.0,0,1,10.0,1,0.0,1,2,1,0,0.0
13,7.0055,1,1,11.0,1,7.0055,0,5,1,1,0.0
17,5.0932,4,1,7.25,1,2.5014,1,3,1,0,0.0
7,3.1096,2,1,3.58,0,1.3288,0,2,0,1,0.0
9,6.8849,1,1,10.0,0,6.8849,1,5,1,1,0.0
18,7.2575,3,1,8.58,1,4.9644,1,3,1,1,0.0
7,2.6767,2,1,7.75,0,1.0,0,1,0,1,0.0
2,0.0,0,1,5.7,0,0.0,0,2,0,0,0.0
27,8.3534,3,1,9.0,1,5.8356,1,6,1,1,0.0
3,6.0027,1,1,9.0,0,6.0027,1,4,1,1,0.0
2,4.0027,1,1,10.0,0,4.0027,0,2,1,1,0.0
1,0.0,0,1,10.0,0,0.0,0,4,0,0,0.0
5,5.6795,1,1,9.0,0,5.6795,1,3,1,1,0.0
6,2.9479,2,1,5.0,0,1.3288,0,1,0,1,0.0
1,0.0,0,1,11.0,0,0.0,1,2,1,0,0.0
5,6.7534,1,0,12.0,0,6.7534,1,2,1,1,0.0
5,3.9753,1,1,6.0,0,3.9753,1,3,1,1,0.0
11,0.0,0,0,12.0,1,0.0,0,2,0,0,0.0
2,0.4192,1,0,1.17,0,0.4192,0,1,0,1,0.0
6,2.2521,1,0,6.25,0,2.2521,0,2,0,1,0.0
3,15.4986,1,1,17.42,0,15.4986,0,1,0,1,0.0
3,2.0,1,1,12.0,0,2.0,0,1,1,1,0.0
33,12.8027,4,1,10.75,1,9.7534,1,3,1,0,0.0
7,2.7918,2,1,5.0,0,0.7671,1,2,1,1,0.0
4,1.0027,1,1,6.0,0,1.0027,1,2,1,1,0.0
3,6.7342,2,0,10.0,0,4.0027,0,3,1,1,0.0
6,4.989,2,1,7.17,0,1.1671,1,8,1,1,0.0
1,0.7781,2,0,2.92,0,0.0,0,1,0,1,0.0
11,7.2356,2,1,10.84,1,2.8411,0,3,1,1,0.0
3,0.0,0,1,3.94,0,0.0,0,1,0,0,0.0
1,0.0,1,0,4.0,0,0.0,0,1,0,1,0.0
3,7.1973,2,1,9.58,0,2.6658,0,4,1,1,0.0
3,0.0,0,0,4.75,0,0.0,0,1,0,0,0.0
30,8.8411,3,1,8.98,1,6.4658,0,1,0,1,0.0
7,7.0055,1,1,14.0,0,7.0055,0,1,0,1,0.0
21,0.0,0,0,11.0,1,0.0,0,1,1,0,1.0
12,3.7836,3,1,3.84,1,3.0904,1,3,1,1,1.0
7,4.3096,3,1,4.31,0,2.9205,1,5,1,1,0.0
1,1.0,1,1,7.41,0,1.0,0,5,0,1,0.0
3,2.9014,2,1,3.0,0,2.1644,0,2,0,1,0.0
6,0.7479,1,1,3.5,0,0.7479,0,2,0,1,0.0
2,7.5233,3,1,3.38,0,0.0,1,2,1,1,0.0
0,0.0,0,1,11.25,0,0.0,0,1,0,0,0.0
26,7.6164,5,1,7.67,1,3.7205,1,4,1,0,0.0
0,0.0,0,0,19.86,0,0.0,0,1,1,0,0.0
7,4.6685,2,1,7.0,0,2.4795,0,1,0,1,0.0
10,5.7945,2,1,6.0,0,5.0055,1,3,1,1,0.0
6,0.0,0,1,14.0,0,0.0,0,4,0,0,0.0
3,1.0,1,1,12.0,0,1.0,0,1,0,1,0.0
19,9.7753,2,1,10.25,1,5.2575,0,4,0,1,0.0
7,4.7753,3,1,6.0,0,3.0877,0,3,0,1,1.0
5,6.5123,2,1,9.0,0,2.0,1,3,1,1,1.0
11,4.2356,4,1,4.67,1,1.3945,1,2,1,0,0.0
2,1.5808,1,0,4.41,0,1.5808,0,2,0,1,0.0
12,8.8384,1,1,13.0,1,8.8384,1,5,1,1,0.0
3,7.6712,1,0,13.0,0,7.6712,0,1,0,1,0.0
3,0.0,0,1,3.0,0,0.0,0,2,0,0,0.0
4,1.0,1,1,12.0,0,1.0,0,1,1,1,0.0
13,2.3836,3,1,4.75,1,1.211,0,4,0,1,0.0
7,5.5397,2,1,9.0,0,3.2658,1,2,1,1,0.0
1,0.0,0,1,8.79,0,0.0,1,4,1,0,0.0
9,6.5863,1,1,12.0,0,6.5863,1,4,1,1,0.0
15,5.9068,3,0,8.66,1,3.8959,0,1,0,1,0.0
1,0.0,0,1,6.08,0,0.0,0,1,0,0,0.0
8,3.0575,2,0,7.0,0,2.6685,0,3,0,1,0.0
18,11.0329,3,1,12.0,1,10.0301,1,4,1,1,1.0
9,3.4164,1,1,7.0,0,3.4164,0,2,0,1,0.0
3,2.1671,2,1,3.0,0,0.4137,0,2,0,1,0.0
4,0.0,0,1,12.0,0,0.0,0,1,0,0,0.0
23,4.2877,3,1,7.0,1,3.0301,1,3,1,1,0.0
16,10.3945,2,1,13.0,1,9.6247,0,2,1,1,0.0
0,5.9671,1,1,10.0,0,5.9671,0,1,0,1,0.0
1,0.0,1,0,3.61,0,0.0,0,1,0,1,0.0
13,0.0,0,0,2.33,1,0.0,0,1,0,0,0.0
19,8.9205,4,1,9.0,1,3.0,1,4,1,0,1.0
1,0.0,0,1,12.0,0,0.0,0,1,0,0,0.0
9,1.7151,3,1,2.13,0,0.5452,0,1,0,1,0.0
2,10.189,3,1,11.0,0,2.0027,0,2,1,1,0.0
9,3.337,2,1,8.33,0,3.0219,1,3,1,1,0.0
4,3.8164,2,1,4.33,0,1.4959,0,1,0,1,0.0
32,0.0,0,1,6.97,1,0.0,0,1,1,0,0.0
9,6.0027,1,1,13.0,0,6.0027,0,1,0,1,0.0
4,1.9123,2,1,5.0,0,0.0,1,5,1,1,0.0
5,4.5315,2,1,7.42,0,1.5836,1,2,1,1,0.0
4,2.4438,2,1,2.67,0,0.1671,0,2,0,1,0.0
4,6.0055,1,0,10.0,0,6.0055,1,4,1,1,0.0
45,8.6192,3,1,9.0,1,7.0521,1,7,1,1,0.0
8,4.3315,3,1,4.07,0,1.0,1,2,1,1,0.0
1,0.0,1,1,4.25,0,0.0,0,1,1,1,0.0
6,6.1973,2,1,7.0,0,3.9178,0,2,0,1,1.0
6,4.9178,3,1,8.58,0,3.811,0,1,0,1,0.0
2,0.0,1,1,2.95,0,0.0,0,2,0,1,0.0
3,0.0,0,0,6.93,0,0.0,0,2,0,0,0.0
10,10.0082,1,1,14.0,0,10.0082,0,3,0,1,0.0
16,9.2575,1,1,11.0,1,9.2575,0,2,1,1,0.0
3,10.2219,3,1,13.0,0,0.5808,0,2,0,1,0.0
13,4.0027,3,0,6.25,1,1.9041,0,1,0,1,0.0
3,5.4986,1,1,13.0,0,5.4986,0,1,0,1,0.0
21,3.6685,3,1,5.16,1,2.5178,1,3,1,1,0.0
3,5.4192,1,1,11.0,0,5.4192,0,2,0,1,0.0
6,7.0055,1,1,10.12,0,7.0055,0,2,1,1,0.0
0,0.0,0,0,11.24,0,0.0,0,1,0,0,0.0
4,5.6164,6,0,6.17,0,0.5863,1,2,1,0,0.0
6,4.0027,1,1,13.0,0,4.0027,0,1,0,1,0.0
3,1.1616,1,1,3.5,0,1.1616,0,5,0,1,0.0
6,0.0,0,1,4.26,0,0.0,0,1,0,0,0.0
2,0.4137,1,1,12.33,0,0.4137,0,3,1,1,0.0
12,9.274,2,1,13.0,1,4.1644,0,1,0,1,0.0
3,2.6521,3,1,3.0,0,0.1616,0,4,0,1,0.0
10,7.8384,1,1,12.0,0,7.8384,1,3,1,1,0.0
2,2.011,2,1,2.01,0,0.7479,0,1,0,1,0.0
16,9.3507,4,1,9.91,1,2.0795,1,2,1,0,0.0
13,4.6932,3,1,8.25,1,3.2548,1,4,1,1,0.0
8,3.0,1,1,13.0,0,3.0,0,4,1,1,0.0
3,5.3863,4,1,4.58,0,0.0849,0,2,0,0,0.0
10,0.0,0,1,8.69,0,0.0,1,3,1,0,0.0
1,1.3068,2,1,3.25,0,0.0,0,2,0,1,0.0
21,3.8356,3,1,6.0,1,2.3014,0,2,0,1,1.0
1,0.9178,1,0,3.23,0,0.9178,0,1,0,1,0.0
3,1.1123,2,1,3.58,0,0.0,0,2,0,1,1.0
4,0.0,0,1,12.0,0,0.0,0,2,1,0,0.0
5,0.0,0,1,10.0,0,0.0,0,4,0,0,0.0
0,0.0,0,0,15.59,0,0.0,0,1,0,0,0.0
5,6.5863,1,1,12.0,0,6.5863,0,1,0,1,0.0
3,0.0,0,1,14.0,0,0.0,0,1,0,0,0.0
6,4.4164,1,1,8.0,0,4.4164,1,5,1,1,0.0
14,7.411,3,1,8.85,1,3.4301,1,2,1,1,1.0
2,0.0,0,0,8.21,0,0.0,0,1,1,0,0.0
8,3.2877,1,0,5.0,0,3.2877,0,1,0,1,0.0
6,3.6466,2,1,8.0,0,3.0027,1,2,1,1,0.0
2,9.3808,3,1,11.0,0,5.8795,0,1,1,1,0.0
3,5.0027,1,1,7.12,0,5.0027,0,1,1,1,0.0
5,3.0027,1,1,12.0,0,3.0027,0,1,1,1,0.0
12,2.9781,2,1,2.85,1,2.2548,0,3,0,1,0.0
1,0.0,0,1,11.0,0,0.0,0,1,0,0,0.0
1,0.0,0,0,3.57,0,0.0,0,1,0,0,0.0
4,0.0,0,1,11.0,0,0.0,0,1,1,0,0.0
3,4.0027,1,1,14.0,0,4.0027,0,1,0,1,0.0
5,2.1452,3,0,5.42,0,1.2521,0,4,0,1,0.0
1,1.4137,1,1,3.58,0,1.4137,0,2,0,1,0.0
8,2.3288,2,0,4.0,0,2.0822,0,3,0,1,0.0
5,5.4986,1,1,7.41,0,5.4986,0,2,1,1,0.0
8,2.9178,2,1,6.17,0,0.0,0,2,0,1,0.0
3,4.9315,3,1,8.0,0,3.2849,0,5,0,1,0.0
10,4.5123,2,1,7.0,0,1.0,0,4,1,1,0.0
4,1.1616,2,1,1.91,0,1.1616,0,1,0,1,0.0
15,4.2274,3,1,6.0,1,2.9178,0,1,0,1,0.0
12,4.8712,2,1,5.48,1,2.4849,0,3,0,1,0.0
3,9.7726,2,1,11.0,0,9.0055,0,2,1,1,0.0
6,1.6575,2,1,3.61,0,1.3562,0,2,0,1,0.0
3,4.5178,1,1,5.87,0,4.5178,1,2,1,1,0.0
5,0.1616,1,1,12.0,0,0.1616,0,2,1,1,0.0
7,4.0027,1,1,7.98,0,4.0027,1,2,1,1,0.0
6,11.2548,3,1,14.0,0,8.0055,0,3,0,1,0.0
6,2.0959,3,1,5.16,0,1.6548,0,2,0,1,0.0
5,2.2548,1,1,10.25,0,2.2548,0,3,1,1,0.0
4,4.1836,5,1,3.75,0,0.0,0,2,1,0,0.0
3,0.0,0,1,3.2,0,0.0,0,1,0,0,0.0
5,2.4877,3,0,3.0,0,0.3397,0,1,0,1,0.0
0,0.0,0,1,11.07,0,0.0,0,1,0,0,0.0
8,3.5836,3,1,5.16,0,2.7041,0,1,0,1,0.0
5,1.2247,2,1,2.09,0,0.0,0,2,1,1,0.0
13,9.9945,4,1,12.0,1,8.0055,0,3,0,0,0.0
5,4.8356,3,1,5.83,0,3.9534,0,2,0,1,0.0
0,0.0,0,0,7.31,0,0.0,0,3,1,0,0.0
4,1.7479,1,1,1.91,0,1.7479,0,1,0,1,0.0
15,3.0,1,1,5.0,1,3.0,1,4,1,1,0.0
6,2.589,1,0,2.58,0,2.589,0,1,0,1,0.0
